,filename
0,unoptimized_command_line_cost_6486_s384_d384_r0.csv
1,unoptimized_command_line_cost_2668_s384_d384_r1.csv
2,unoptimized_command_line_cost_6480_s384_d384_r1.csv
3,unoptimized_command_line_cost_670_s384_d384_r2.csv
4,unoptimized_command_line_cost_4604_s384_d384_r2.csv
5,unoptimized_command_line_cost_672_s384_d384_r0.csv
6,unoptimized_command_line_cost_2648_s384_d384_r0.csv
7,unoptimized_command_line_cost_4601_s384_d384_r0.csv
8,unoptimized_command_line_cost_672_s384_d384_r1.csv
9,unoptimized_command_line_cost_4615_s384_d384_r1.csv
10,unoptimized_command_line_cost_2650_s384_d384_r2.csv
11,unoptimized_command_line_cost_6477_s384_d384_r2.csv
